tileid,class,quantile
61223,3,0.754
61224,3,0.686
61225,1,0.079
61226,3,0.536
61447,2,0.154
61448,2,0.135
61449,3,0.558
61450,4,0.999
61451,1,0.041
61452,4,0.999
61453,3,0.782
61454,4,1.0
61455,3,0.525
61456,3,0.824
61457,3,0.613
61458,4,0.929
61459,3,0.634
61460,4,0.996
61928,2,0.112
61930,1,0.089
61931,2,0.142
61932,4,0.971
61933,3,0.635
61934,2,0.378
61935,2,0.192
62155,1,0.094
62156,2,0.255
62157,3,0.64
62158,3,0.744
62159,2,0.134
62160,3,0.858
62162,3,0.618
62163,2,0.199
62164,4,0.998
62165,3,0.743
62167,2,0.302
62168,4,1.0
62169,2,0.265
62637,4,0.984
62638,3,0.627
62639,2,0.224
62640,4,0.974
62641,2,0.478
62642,3,0.723
62643,4,0.993
62860,4,0.994
62862,3,0.769
62863,2,0.284
62864,2,0.175
62865,2,0.303
62866,2,0.286
62867,1,0.085
62868,1,0.016
62871,2,0.359
62872,4,0.997
62876,3,0.54
62878,3,0.874
63345,2,0.11
63346,2,0.471
63347,3,0.674
63348,2,0.327
63349,2,0.323
63350,3,0.809
63351,2,0.284
63352,3,0.728
63569,1,0.079
63571,3,0.58
63572,2,0.123
63573,2,0.412
63574,2,0.358
63575,2,0.239
63576,3,0.536
63577,3,0.893
63578,1,0.016
63579,2,0.268
63580,3,0.777
63581,4,0.941
63582,2,0.28
63583,3,0.789
63584,4,0.913
63585,2,0.335
63586,4,1.0
64009,3,0.825
64010,3,0.521
64054,2,0.293
64055,4,0.943
64056,2,0.455
64057,3,0.799
64058,2,0.101
64059,4,1.0
64060,2,0.447
64061,2,0.362
64062,1,0.014
64063,1,0.043
64276,3,0.687
64277,2,0.415
64279,2,0.441
64280,3,0.724
64281,2,0.169
64282,2,0.257
64283,2,0.113
64285,1,0.072
64286,3,0.797
64287,2,0.392
64288,4,0.975
64289,3,0.898
64290,4,1.0
64293,2,0.365
64294,1,0.089
64716,2,0.117
64718,2,0.486
64719,2,0.429
64720,3,0.537
64764,2,0.405
64765,4,0.99
64766,4,0.967
64767,4,0.923
64768,3,0.887
64769,3,0.853
64770,2,0.154
64771,2,0.25
64984,2,0.431
64985,4,0.998
64986,2,0.4
64987,2,0.347
64988,3,0.886
64989,3,0.789
64990,1,0.055
64991,2,0.228
64992,3,0.691
64993,2,0.326
64994,3,0.87
64995,3,0.525
64996,3,0.612
64997,3,0.893
64998,3,0.763
65000,4,1.0
65001,2,0.448
65002,1,0.096
65003,4,0.991
65004,2,0.122
65005,3,0.864
65423,2,0.497
65424,3,0.721
65425,1,0.043
65426,2,0.43
65427,1,0.081
65428,2,0.285
65474,2,0.305
65475,3,0.599
65476,4,0.932
65477,4,0.982
65478,3,0.561
65479,3,0.578
65692,4,1.0
65693,3,0.827
65694,3,0.781
65695,4,0.946
65696,4,1.0
65697,3,0.596
65698,2,0.344
65699,4,0.942
65700,4,1.0
65702,1,0.055
65704,3,0.768
65706,2,0.493
65707,2,0.199
65708,4,0.999
65709,2,0.341
65710,2,0.345
65711,3,0.539
65713,4,0.913
66131,2,0.186
66132,2,0.106
66133,2,0.249
66134,2,0.335
66135,3,0.661
66136,4,0.927
66137,2,0.256
66183,2,0.23
66184,2,0.411
66185,3,0.695
66186,3,0.876
66187,4,0.993
66188,2,0.338
66400,4,1.0
66401,2,0.433
66402,4,0.958
66403,4,0.904
66404,2,0.354
66405,2,0.248
66406,4,0.968
66407,2,0.254
66408,4,0.921
66410,4,0.999
66411,3,0.707
66412,4,0.983
66415,1,0.096
66416,2,0.358
66418,2,0.225
66838,2,0.135
66839,2,0.185
66840,2,0.443
66841,3,0.752
66842,3,0.629
66843,2,0.177
66844,2,0.441
66845,2,0.329
66891,3,0.765
66892,2,0.305
66893,3,0.745
66894,4,0.948
66895,4,1.0
66896,4,0.94
66897,3,0.506
66899,4,1.0
67109,4,0.999
67110,3,0.745
67111,2,0.15
67112,3,0.625
67113,3,0.875
67114,2,0.19
67115,2,0.254
67116,2,0.235
67117,2,0.104
67119,2,0.112
67120,4,0.998
67121,4,0.995
67122,2,0.181
67124,1,0.095
67126,2,0.146
67128,4,0.903
67129,2,0.22
67130,3,0.699
67131,1,0.027
67546,3,0.731
67547,3,0.588
67548,2,0.406
67549,2,0.436
67550,2,0.414
67551,1,0.061
67552,3,0.558
67553,2,0.219
67601,3,0.677
67602,3,0.895
67603,3,0.518
67604,4,1.0
67605,3,0.78
67606,1,0.065
67607,4,0.994
67608,4,1.0
67609,1,0.07
67817,3,0.787
67818,2,0.431
67819,4,1.0
67820,3,0.82
67821,2,0.4
67822,4,0.941
67823,2,0.373
67824,3,0.593
67826,3,0.642
67828,1,0.098
67829,1,0.035
67830,1,0.094
67831,3,0.64
67832,1,0.042
67833,3,0.896
67834,2,0.276
67835,2,0.111
67837,3,0.605
67838,2,0.105
67839,2,0.133
67840,3,0.675
68254,3,0.866
68255,2,0.407
68256,2,0.192
68259,2,0.142
68260,2,0.272
68261,2,0.179
68309,3,0.885
68310,3,0.586
68311,2,0.265
68312,4,1.0
68314,1,0.041
68315,2,0.255
68316,2,0.121
68317,3,0.73
68525,4,0.999
68526,3,0.565
68527,4,0.999
68528,2,0.468
68529,2,0.376
68530,2,0.278
68531,3,0.586
68532,2,0.178
68533,2,0.411
68534,2,0.167
68536,4,1.0
68539,4,0.997
68541,3,0.675
68542,3,0.864
68543,3,0.501
68544,2,0.203
68545,2,0.385
68546,4,0.995
68547,2,0.232
68548,4,0.982
68960,2,0.298
68961,2,0.154
68968,2,0.289
68969,3,0.652
69023,3,0.523
69024,2,0.131
69025,2,0.234
69026,3,0.596
69233,3,0.798
69234,2,0.201
69235,3,0.738
69236,3,0.656
69237,2,0.317
69238,2,0.153
69239,3,0.586
69240,3,0.67
69241,4,0.974
69242,2,0.124
69243,4,0.972
69244,2,0.127
69245,4,0.995
69246,4,0.997
69247,4,1.0
69249,3,0.685
69250,3,0.6
69251,3,0.644
69252,4,0.998
69253,2,0.369
69254,3,0.509
69255,2,0.38
69256,4,0.907
69668,2,0.306
69669,3,0.815
69676,2,0.403
69728,3,0.643
69729,2,0.232
69730,1,0.082
69731,2,0.229
69732,2,0.459
69733,3,0.651
69734,2,0.125
69735,2,0.322
69942,2,0.341
69943,3,0.769
69944,3,0.86
69945,2,0.336
69946,3,0.532
69947,2,0.378
69948,4,0.998
69949,3,0.876
69950,3,0.828
69951,2,0.476
69952,2,0.288
69953,2,0.265
69954,2,0.343
69955,3,0.721
69956,2,0.339
69957,2,0.247
69958,2,0.227
69959,2,0.44
69960,2,0.485
69961,3,0.898
69962,3,0.582
69963,3,0.528
69964,3,0.863
69965,3,0.581
70381,3,0.539
70436,2,0.162
70437,2,0.25
70438,3,0.868
70439,3,0.534
70440,2,0.346
70441,4,0.959
70442,1,0.097
70443,2,0.173
70444,2,0.378
70649,2,0.304
70650,3,0.547
70651,2,0.293
70652,3,0.806
70653,2,0.382
70654,4,0.977
70655,2,0.293
70656,2,0.156
70657,2,0.479
70658,2,0.129
70659,3,0.555
70660,2,0.119
70661,2,0.319
70662,2,0.173
70664,2,0.103
70665,3,0.525
70666,3,0.705
70667,4,0.989
70668,3,0.864
70669,2,0.485
70670,2,0.107
70671,2,0.233
70672,1,0.063
70673,3,0.804
70674,2,0.19
70675,4,0.993
70676,3,0.89
70677,3,0.517
70678,3,0.708
70679,2,0.141
71082,4,0.954
71083,4,1.0
71084,2,0.208
71087,2,0.323
71088,3,0.631
71089,4,0.992
71090,3,0.843
71145,1,0.092
71146,3,0.784
71147,2,0.358
71148,3,0.791
71149,2,0.128
71150,3,0.52
71151,4,0.996
71152,2,0.135
71153,2,0.37
71357,2,0.252
71358,2,0.448
71359,2,0.277
71360,3,0.708
71361,2,0.144
71362,2,0.15
71363,1,0.037
71364,3,0.549
71365,4,1.0
71366,2,0.425
71367,2,0.467
71368,4,0.926
71369,4,0.961
71370,3,0.592
71373,2,0.102
71374,4,0.999
71375,4,0.97
71376,4,1.0
71377,4,0.988
71378,2,0.321
71379,3,0.586
71380,2,0.292
71381,3,0.829
71382,4,0.994
71383,4,0.934
71384,3,0.554
71385,2,0.386
71386,2,0.466
71387,2,0.43
71388,3,0.858
71389,1,0.098
71785,3,0.521
71786,2,0.43
71787,4,1.0
71788,3,0.638
71789,3,0.509
71790,4,1.0
71791,4,1.0
71792,4,0.951
71793,2,0.281
71794,2,0.13
71795,2,0.173
71796,4,0.999
71797,3,0.538
71798,4,0.991
71799,2,0.477
71800,1,0.04
71854,2,0.299
71855,2,0.336
71856,2,0.437
71857,2,0.198
71858,2,0.397
71859,2,0.236
71860,3,0.634
71861,3,0.689
72065,2,0.224
72066,2,0.415
72067,3,0.827
72068,4,1.0
72069,3,0.853
72070,2,0.368
72071,2,0.255
72072,4,0.958
72073,4,1.0
72074,3,0.846
72075,3,0.805
72076,3,0.877
72077,2,0.271
72080,3,0.724
72081,2,0.374
72082,3,0.511
72083,3,0.78
72084,4,0.945
72085,2,0.361
72086,2,0.243
72087,2,0.233
72088,2,0.253
72089,2,0.3
72090,2,0.179
72091,2,0.186
72092,2,0.232
72093,2,0.14
72094,2,0.447
72095,3,0.669
72096,2,0.288
72097,2,0.117
72098,4,0.97
72492,2,0.118
72493,3,0.612
72494,3,0.668
72495,3,0.526
72496,2,0.322
72497,4,1.0
72498,4,1.0
72499,3,0.814
72500,2,0.203
72501,3,0.545
72502,1,0.006
72503,1,0.052
72504,3,0.687
72505,2,0.358
72506,2,0.396
72507,3,0.699
72508,2,0.402
72509,2,0.25
72510,2,0.344
72511,1,0.067
72512,1,0.06
72562,2,0.331
72563,2,0.153
72564,3,0.812
72565,1,0.095
72566,2,0.203
72567,2,0.142
72568,4,0.915
72569,3,0.559
72773,3,0.604
72774,2,0.149
72775,4,0.991
72776,4,1.0
72777,3,0.531
72778,4,0.948
72779,2,0.454
72780,2,0.225
72781,3,0.538
72782,4,0.99
72783,2,0.114
72784,3,0.797
72785,3,0.672
72787,3,0.54
72789,2,0.493
72790,3,0.692
72791,1,0.07
72792,2,0.304
72793,2,0.236
72794,2,0.322
72795,2,0.175
72796,2,0.28
72797,2,0.152
72798,1,0.086
72799,4,0.941
72800,2,0.344
72801,3,0.765
72802,2,0.245
72803,2,0.192
72804,2,0.293
72805,2,0.423
72806,2,0.149
72807,2,0.235
73200,2,0.187
73201,4,1.0
73202,4,0.971
73203,2,0.497
73204,4,0.936
73205,4,0.977
73206,3,0.621
73207,3,0.795
73208,3,0.746
73209,3,0.58
73210,3,0.552
73211,3,0.533
73212,2,0.448
73213,2,0.366
73214,4,0.999
73215,2,0.15
73216,2,0.337
73217,3,0.636
73218,2,0.293
73219,3,0.865
73220,2,0.113
73269,4,0.999
73270,2,0.17
73271,3,0.54
73272,2,0.187
73481,3,0.73
73482,1,0.018
73483,2,0.348
73484,3,0.757
73485,4,1.0
73486,3,0.783
73487,3,0.575
73489,3,0.786
73490,2,0.289
73491,2,0.205
73493,4,0.997
73494,3,0.704
73495,4,0.996
73497,3,0.555
73498,4,1.0
73499,3,0.621
73500,1,0.049
73501,2,0.283
73502,2,0.485
73503,1,0.074
73504,3,0.542
73505,2,0.191
73506,4,0.946
73507,4,0.925
73508,2,0.16
73509,1,0.06
73510,2,0.119
73511,4,1.0
73512,2,0.362
73513,2,0.183
73514,2,0.123
73515,1,0.085
73908,2,0.154
73909,3,0.581
73910,2,0.297
73911,3,0.576
73912,4,0.922
73913,3,0.686
73914,4,0.959
73915,2,0.495
73916,4,0.906
73917,2,0.183
73918,3,0.569
73919,3,0.675
73920,2,0.413
73921,4,0.992
73922,2,0.369
73923,2,0.31
73924,3,0.697
73925,2,0.273
73926,4,0.963
73927,3,0.669
73928,4,0.916
73929,3,0.708
73977,3,0.787
73978,1,0.051
73979,3,0.575
73980,2,0.118
74191,2,0.299
74192,4,0.967
74193,4,0.967
74194,4,0.956
74197,2,0.407
74198,2,0.493
74200,2,0.434
74201,4,0.994
74202,2,0.16
74203,2,0.122
74204,4,0.999
74205,2,0.106
74206,2,0.172
74207,2,0.336
74208,2,0.45
74209,2,0.209
74210,2,0.234
74211,2,0.249
74212,2,0.429
74213,2,0.451
74214,2,0.192
74215,3,0.636
74216,1,0.07
74217,2,0.26
74218,2,0.133
74219,4,0.953
74220,2,0.118
74221,2,0.161
74222,3,0.836
74223,2,0.153
74610,2,0.123
74615,3,0.786
74616,4,0.982
74617,2,0.37
74618,2,0.371
74619,2,0.417
74620,2,0.448
74621,3,0.696
74622,3,0.705
74623,2,0.342
74624,3,0.596
74625,3,0.712
74626,2,0.358
74627,2,0.318
74628,2,0.474
74629,3,0.544
74630,1,0.086
74631,2,0.419
74632,2,0.311
74633,3,0.643
74634,2,0.498
74635,2,0.256
74636,4,1.0
74637,3,0.55
74684,3,0.864
74685,3,0.755
74686,2,0.429
74687,3,0.588
74899,3,0.574
74900,2,0.183
74901,4,0.993
74902,4,1.0
74903,4,0.996
74904,2,0.346
74905,3,0.832
74906,3,0.573
74908,4,0.902
74910,4,0.996
74911,4,0.999
74912,2,0.334
74913,3,0.772
74914,2,0.305
74915,2,0.456
74916,2,0.221
74917,1,0.087
74918,3,0.56
74919,1,0.08
74920,2,0.203
74921,2,0.224
74922,2,0.229
74923,2,0.451
74924,3,0.768
74925,2,0.29
74926,4,0.963
74927,4,0.995
74928,3,0.885
74929,2,0.457
74930,2,0.367
75318,4,1.0
75319,3,0.87
75320,2,0.302
75321,3,0.785
75322,1,0.074
75323,2,0.434
75324,3,0.634
75325,2,0.48
75326,2,0.488
75327,2,0.494
75328,2,0.263
75329,2,0.409
75330,2,0.281
75331,3,0.839
75332,4,0.935
75333,4,0.991
75334,3,0.51
75335,4,1.0
75336,3,0.822
75337,3,0.784
75338,4,0.974
75339,4,1.0
75340,4,1.0
75341,3,0.583
75342,3,0.81
75343,4,1.0
75344,4,1.0
75345,2,0.496
75391,2,0.371
75392,2,0.437
75393,2,0.205
75394,2,0.247
75607,2,0.354
75608,2,0.316
75609,2,0.327
75610,4,0.994
75611,2,0.298
75612,2,0.423
75613,2,0.174
75614,2,0.308
75615,3,0.842
75616,3,0.837
75617,3,0.541
75619,2,0.473
75620,4,0.998
75621,1,0.086
75622,2,0.284
75623,3,0.509
75624,2,0.336
75625,2,0.218
75626,2,0.157
75627,2,0.206
75628,2,0.206
75629,2,0.296
75630,2,0.239
75631,2,0.207
75632,2,0.178
75633,3,0.538
75634,2,0.303
75635,4,1.0
75636,4,1.0
75637,3,0.507
75638,2,0.387
75985,2,0.177
75986,2,0.244
75987,3,0.508
75988,2,0.145
76025,2,0.285
76026,1,0.098
76027,2,0.254
76028,2,0.147
76029,1,0.031
76030,2,0.303
76031,2,0.316
76032,3,0.697
76033,3,0.604
76034,3,0.616
76035,3,0.503
76036,2,0.482
76037,2,0.316
76038,3,0.651
76039,4,0.911
76040,4,0.978
76041,4,1.0
76042,4,1.0
76043,4,1.0
76044,3,0.811
76045,3,0.852
76046,4,0.991
76047,2,0.466
76048,4,1.0
76049,3,0.763
76050,2,0.106
76051,1,0.087
76052,4,1.0
76053,2,0.317
76054,2,0.136
76099,2,0.335
76100,3,0.608
76101,2,0.388
76316,3,0.525
76317,3,0.755
76318,4,0.905
76319,4,0.936
76320,3,0.681
76321,2,0.447
76322,3,0.631
76323,4,1.0
76324,3,0.835
76325,2,0.409
76326,3,0.742
76327,3,0.689
76329,2,0.281
76330,2,0.323
76331,2,0.352
76332,2,0.195
76333,2,0.242
76334,2,0.267
76335,4,0.987
76336,2,0.352
76337,2,0.14
76338,3,0.616
76339,2,0.216
76340,2,0.165
76341,3,0.623
76342,2,0.446
76343,1,0.005
76344,1,0.006
76345,1,0.024
76346,2,0.321
76347,3,0.743
76348,2,0.114
76349,2,0.15
76350,3,0.629
76351,1,0.081
76352,2,0.33
76499,1,0.051
76500,2,0.358
76501,2,0.272
76692,1,0.05
76693,2,0.476
76694,2,0.304
76695,2,0.4
76696,2,0.342
76697,3,0.736
76698,2,0.419
76731,2,0.157
76732,2,0.196
76733,2,0.458
76734,1,0.062
76735,2,0.225
76736,2,0.34
76737,1,0.009
76738,1,0.059
76739,3,0.656
76740,3,0.693
76741,3,0.805
76742,3,0.501
76743,3,0.704
76744,4,0.909
76745,4,0.932
76746,3,0.788
76747,4,1.0
76748,2,0.219
76749,4,0.975
76750,2,0.158
76751,3,0.838
76752,2,0.472
76753,3,0.866
76754,3,0.893
76755,4,0.985
76756,3,0.783
76757,2,0.491
76758,3,0.543
76759,4,0.9
76760,2,0.107
76761,2,0.387
76762,1,0.091
76806,4,0.941
76807,2,0.269
76808,2,0.113
77024,2,0.151
77025,3,0.733
77026,4,1.0
77027,3,0.584
77028,3,0.807
77029,2,0.463
77030,4,0.912
77031,4,0.973
77032,4,1.0
77033,2,0.156
77034,3,0.512
77035,3,0.801
77036,3,0.645
77037,3,0.861
77038,4,0.95
77039,3,0.559
77040,2,0.345
77041,2,0.216
77042,2,0.284
77043,2,0.282
77044,2,0.473
77045,2,0.13
77046,3,0.52
77047,2,0.375
77048,2,0.39
77049,3,0.509
77050,3,0.73
77051,1,0.051
77052,2,0.363
77053,2,0.499
77054,3,0.585
77055,2,0.457
77056,3,0.531
77057,3,0.852
77058,2,0.158
77059,2,0.325
77060,2,0.197
77061,2,0.273
77205,1,0.016
77206,1,0.026
77207,2,0.274
77208,3,0.696
77209,2,0.339
77210,3,0.598
77211,2,0.175
77212,2,0.251
77213,2,0.124
77214,2,0.212
77215,2,0.119
77216,2,0.354
77217,3,0.588
77218,1,0.085
77219,3,0.556
77220,2,0.168
77398,3,0.682
77399,2,0.322
77400,3,0.61
77401,2,0.443
77402,4,0.912
77403,3,0.808
77404,2,0.393
77405,4,0.949
77406,3,0.849
77407,2,0.369
77439,4,0.995
77440,3,0.754
77441,2,0.266
77443,2,0.122
77444,2,0.312
77445,2,0.461
77446,3,0.564
77447,3,0.639
77448,3,0.694
77449,4,0.976
77450,3,0.686
77451,4,1.0
77452,4,1.0
77453,2,0.461
77454,4,0.994
77455,2,0.472
77456,4,0.983
77457,4,0.913
77458,3,0.884
77459,3,0.776
77460,2,0.447
77461,4,0.922
77462,4,0.929
77463,3,0.838
77464,4,1.0
77465,3,0.573
77466,3,0.537
77467,2,0.304
77468,3,0.506
77469,2,0.326
77470,1,0.071
77471,1,0.007
77733,2,0.355
77734,4,0.95
77735,1,0.088
77736,3,0.835
77737,3,0.64
77738,4,0.913
77739,3,0.641
77740,2,0.48
77741,2,0.342
77742,2,0.356
77743,2,0.351
77744,3,0.777
77745,2,0.233
77746,2,0.118
77747,2,0.452
77748,2,0.373
77749,3,0.557
77750,3,0.895
77751,3,0.614
77752,3,0.624
77753,2,0.194
77754,2,0.188
77755,2,0.203
77756,3,0.522
77757,2,0.407
77758,2,0.327
77759,3,0.803
77760,2,0.475
77761,3,0.522
77762,3,0.552
77763,3,0.759
77764,3,0.847
77765,4,0.999
77766,4,1.0
77767,2,0.339
77768,2,0.147
77769,3,0.65
77770,2,0.163
77913,1,0.008
77914,1,0.025
77915,2,0.294
77916,3,0.835
77917,2,0.349
77918,2,0.286
77919,3,0.611
77920,3,0.873
77921,1,0.099
77922,3,0.833
77923,3,0.708
77924,3,0.594
77925,4,0.946
77926,4,0.958
77927,2,0.137
77928,1,0.047
77929,2,0.311
77930,2,0.172
77931,2,0.121
78106,4,1.0
78107,3,0.557
78108,4,0.989
78109,4,1.0
78110,4,1.0
78111,4,0.976
78112,3,0.736
78113,3,0.851
78114,2,0.407
78115,4,0.972
78116,2,0.202
78117,2,0.253
78118,3,0.632
78119,3,0.545
78120,2,0.219
78121,2,0.48
78122,3,0.589
78123,2,0.199
78124,2,0.476
78146,2,0.339
78147,3,0.6
78148,3,0.738
78149,2,0.46
78150,2,0.328
78151,4,0.999
78152,2,0.384
78153,4,0.973
78154,4,0.916
78155,2,0.336
78156,2,0.347
78157,3,0.769
78158,4,0.94
78159,3,0.745
78160,3,0.801
78161,3,0.828
78162,2,0.432
78163,2,0.184
78164,3,0.617
78165,3,0.643
78166,3,0.643
78167,3,0.601
78168,2,0.342
78169,3,0.598
78170,3,0.684
78171,2,0.319
78172,4,0.931
78173,2,0.467
78174,2,0.421
78175,3,0.721
78176,3,0.85
78177,2,0.108
78178,1,0.074
78179,1,0.012
78441,1,0.079
78442,2,0.177
78443,1,0.023
78444,4,0.989
78445,4,0.957
78446,4,0.919
78447,4,0.98
78448,3,0.859
78449,2,0.308
78450,2,0.219
78451,3,0.59
78452,2,0.132
78453,2,0.406
78454,3,0.551
78455,3,0.832
78456,2,0.2
78457,2,0.435
78458,2,0.491
78459,3,0.735
78460,3,0.775
78461,2,0.396
78462,2,0.148
78463,2,0.166
78464,1,0.072
78465,3,0.777
78466,2,0.299
78467,2,0.194
78468,2,0.231
78469,4,1.0
78470,4,0.996
78471,3,0.767
78472,4,0.971
78473,3,0.88
78474,2,0.442
78475,2,0.167
78476,2,0.169
78477,3,0.515
78478,3,0.891
78479,3,0.522
78620,1,0.053
78621,2,0.256
78622,2,0.35
78623,2,0.442
78624,3,0.651
78625,2,0.383
78626,2,0.218
78627,2,0.305
78628,2,0.212
78629,4,0.999
78630,3,0.534
78631,2,0.186
78632,3,0.778
78633,4,0.966
78634,4,1.0
78635,4,1.0
78636,4,1.0
78637,2,0.191
78638,2,0.389
78639,3,0.836
78640,1,0.061
78815,4,0.99
78816,2,0.366
78817,2,0.484
78818,4,0.988
78819,3,0.892
78820,4,0.998
78821,2,0.405
78822,4,0.906
78823,3,0.81
78824,3,0.709
78825,2,0.163
78826,2,0.478
78827,3,0.696
78828,3,0.772
78829,2,0.357
78830,3,0.768
78853,2,0.301
78854,2,0.241
78855,2,0.3
78856,3,0.859
78857,2,0.42
78858,4,0.982
78859,1,0.076
78860,1,0.061
78861,4,0.957
78862,3,0.856
78863,3,0.825
78864,2,0.248
78865,2,0.137
78866,2,0.466
78867,2,0.355
78868,3,0.723
78869,3,0.538
78870,2,0.275
78871,3,0.666
78872,3,0.519
78873,3,0.698
78874,3,0.749
78875,1,0.09
78876,2,0.482
78877,2,0.331
78878,3,0.75
78879,2,0.296
78880,2,0.433
78881,2,0.29
78882,3,0.878
78883,2,0.471
78884,2,0.305
78885,1,0.099
78886,4,0.991
78887,2,0.216
78888,1,0.047
79149,2,0.113
79150,2,0.377
79151,3,0.78
79152,4,0.915
79153,4,0.989
79154,3,0.772
79155,2,0.164
79156,4,0.981
79157,4,0.968
79158,3,0.854
79159,3,0.751
79160,3,0.713
79161,3,0.601
79162,3,0.558
79163,4,0.918
79164,3,0.864
79165,3,0.668
79166,3,0.556
79167,3,0.648
79168,2,0.495
79169,3,0.756
79170,2,0.394
79171,1,0.04
79172,2,0.202
79173,4,1.0
79174,3,0.514
79175,3,0.695
79176,4,0.949
79177,3,0.542
79178,4,0.936
79179,2,0.217
79180,2,0.466
79181,3,0.595
79182,4,0.999
79183,3,0.763
79184,4,1.0
79185,2,0.425
79186,2,0.202
79187,4,0.988
79328,2,0.189
79329,4,0.985
79330,4,1.0
79331,4,0.948
79332,2,0.469
79333,3,0.683
79334,3,0.738
79335,2,0.335
79336,3,0.527
79337,4,1.0
79338,4,0.995
79339,2,0.109
79340,3,0.817
79341,4,0.91
79342,2,0.396
79343,2,0.294
79344,2,0.408
79345,3,0.89
79346,4,0.991
79347,3,0.784
79348,1,0.088
79349,3,0.722
79524,2,0.288
79525,4,0.902
79526,4,1.0
79527,2,0.374
79528,3,0.661
79529,2,0.296
79530,4,0.934
79531,2,0.417
79532,2,0.311
79535,2,0.201
79536,3,0.608
79541,2,0.167
79561,2,0.255
79562,2,0.398
79563,2,0.475
79564,2,0.263
79565,3,0.653
79566,3,0.797
79567,3,0.693
79568,2,0.441
79569,4,0.997
79570,2,0.451
79571,3,0.828
79572,2,0.168
79574,3,0.555
79575,2,0.181
79576,3,0.556
79577,3,0.703
79579,3,0.762
79580,3,0.746
79581,2,0.138
79582,2,0.234
79583,2,0.395
79584,2,0.46
79585,2,0.386
79586,3,0.758
79587,3,0.703
79588,3,0.59
